,width,longitude,type,average_people_value
0,55.74792575,37.60940375,apartments,500.0
1,55.75752035,37.61012235,office,1000.0
2,55.74960365,37.5995452,apartments,500.0
3,55.7497921,37.598805549999994,apartments,500.0
4,55.748492850000005,37.599258000000006,apartments,500.0
5,55.76766455,37.5992405,apartments,500.0
6,55.7672178,37.6000798,apartments,500.0
7,55.7654268,37.59984025,apartments,500.0
8,55.7647148,37.6016761,apartments,500.0
9,55.7561603,37.6113491,office,1000.0
10,55.75595295,37.61028175,office,1000.0
11,55.75650855,37.6119528,office,1000.0
12,55.75667625,37.6101688,office,1000.0
13,55.7550815,37.609727,university,1000.0
14,55.757406950000004,37.6110883,office,1000.0
15,55.757151,37.609809299999995,office,1000.0
16,55.7571224,37.605418150000006,office,1000.0
17,55.759426649999995,37.60618425,apartments,500.0
18,55.758728149999996,37.60712225,apartments,500.0
19,55.757679949999996,37.6067088,apartments,500.0
20,55.75328395,37.60521905,university,1000.0
21,55.75401365,37.6046827,apartments,500.0
22,55.75369695,37.60553725,apartments,500.0
23,55.75455935,37.6056294,apartments,500.0
24,55.75477995,37.60573705,apartments,500.0
25,55.7547407,37.603463500000004,university,1000.0
26,55.7555298,37.605793750000004,office,1000.0
27,55.7557375,37.60330745,apartments,500.0
28,55.7557325,37.60392985,apartments,500.0
29,55.754113450000006,37.60731775,apartments,500.0
30,55.75474775,37.6090198,commercial,1000.0
31,55.7541799,37.6085868,commercial,1000.0
32,55.754239999999996,37.60803965,apartments,500.0
33,55.753542949999996,37.60762750000001,apartments,500.0
34,55.75452645,37.6094602,commercial,1000.0
35,55.75312235,37.610276049999996,commercial,1000.0
36,55.753320349999996,37.6063465,office,1000.0
37,55.75540875,37.5992002,university,1000.0
38,55.75625825,37.59856715,apartments,500.0
39,55.75808035,37.60897395,office,1000.0
40,55.760249900000005,37.6091118,office,1000.0
41,55.75949215,37.60985075,office,1000.0
42,55.7600063,37.608150800000004,apartments,500.0
43,55.7596497,37.61061855,apartments,500.0
44,55.7583126,37.60927135,office,1000.0
45,55.75930595,37.61038485,office,1000.0
46,55.76161225,37.61556995,apartments,500.0
47,55.76122985,37.61507145,office,1000.0
48,55.76449385,37.6080263,apartments,500.0
49,55.76340975,37.60790865,apartments,500.0
50,55.7633102,37.605839,apartments,500.0
51,55.762327299999995,37.60786175,apartments,500.0
52,55.76434355,37.6153913,apartments,500.0
53,55.764124550000005,37.6154234,apartments,500.0
54,55.765189649999996,37.618644,commercial,1000.0
55,55.76603145,37.616327999999996,commercial,1000.0
56,55.7634447,37.61476105,apartments,500.0
57,55.7644892,37.616336700000005,apartments,500.0
58,55.763331750000006,37.6140858,apartments,500.0
59,55.76300755,37.622509550000004,university,1000.0
60,55.769904600000004,37.61294195,office,1000.0
61,55.7704917,37.61346519999999,commercial,1000.0
62,55.76933045,37.61530495,commercial,1000.0
63,55.769262299999994,37.61709245,apartments,500.0
64,55.76879905,37.615654,apartments,500.0
65,55.76887295,37.6163167,apartments,500.0
66,55.770793350000005,37.612987700000005,office,1000.0
67,55.7711081,37.6153803,apartments,500.0
68,55.77059975,37.61585125,apartments,500.0
69,55.77053545,37.61647425,apartments,500.0
70,55.770023699999996,37.615865400000004,commercial,1000.0
71,55.7695151,37.6169429,apartments,500.0
72,55.7689478,37.6180823,apartments,500.0
73,55.764366249999995,37.64100675,commercial,1000.0
74,55.76550385,37.6436626,apartments,500.0
75,55.76604235,37.6416213,commercial,1000.0
76,55.7665372,37.641861899999995,commercial,1000.0
77,55.76289355,37.643641450000004,apartments,500.0
78,55.76776795,37.6366374,commercial,1000.0
79,55.768191200000004,37.635324100000005,apartments,500.0
80,55.76477145,37.63743735,office,1000.0
81,55.7643213,37.6384705,apartments,500.0
82,55.76297085,37.6450582,apartments,500.0
83,55.76484685,37.6447959,apartments,500.0
84,55.7664677,37.640657250000004,apartments,500.0
85,55.76808715,37.6283648,apartments,500.0
86,55.7690192,37.62844425,apartments,500.0
87,55.7677468,37.62683885,apartments,500.0
88,55.7679112,37.62929915,office,1000.0
89,55.76712725,37.628950700000004,apartments,500.0
90,55.7684653,37.62708995,apartments,500.0
91,55.7677532,37.62567645,apartments,500.0
92,55.76774655,37.62622835,apartments,500.0
93,55.767361199999996,37.6284584,apartments,500.0
94,55.767772550000004,37.62494315,apartments,500.0
95,55.76699495,37.624869849999996,apartments,500.0
96,55.7674808,37.62625405,apartments,500.0
97,55.7669058,37.6300298,apartments,500.0
98,55.768142999999995,37.62752945,office,1000.0
99,55.76721805,37.63034125,apartments,500.0
100,55.770048,37.63056395,apartments,500.0
101,55.770419149999995,37.62812855,apartments,500.0
102,55.7701531,37.62833245,apartments,500.0
103,55.7703686,37.63430755,apartments,500.0
104,55.770123049999995,37.63413465,apartments,500.0
105,55.7713785,37.631187600000004,apartments,500.0
106,55.771737,37.606819099999996,university,1000.0
107,55.77186025,37.6059107,apartments,500.0
108,55.7590833,37.595891550000005,apartments,500.0
109,55.7584513,37.59799785,apartments,500.0
110,55.75690805,37.5980962,apartments,500.0
111,55.7598382,37.596035400000005,apartments,500.0
112,55.75665225,37.59735325,office,1000.0
113,55.76544665,37.597515200000004,apartments,500.0
114,55.7641562,37.59752829999999,apartments,500.0
115,55.76369095,37.59827045,apartments,500.0
116,55.7646795,37.59773975,apartments,500.0
117,55.7658967,37.59740465,commercial,1000.0
118,55.765333,37.5982948,apartments,500.0
119,55.76459665,37.59583685,apartments,500.0
